URL,PDF_NM,UUID
http://crisprlipid.org/,non_paper,18e154da-9420-4285-ae33-953233e82184
https://elifesciences.org/articles/85345,elife-85345-v2.pdf,74a655f5-f3a6-47ed-9ac2-47cdd90efc56
https://elifesciences.org/reviewed-preprints/89306,89306-v2.pdf,b07a7071-2cc7-4c88-a918-2a9d25cac12f
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007004,file678.pdf,974d792a-ffe9-4abd-b511-b03a190d2c92
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1011067,journal.pgen.1011067.pdf,0a9398a2-3dd0-417c-82db-b22b04d23344
https://lifs-tools.org/lipidspace.html,non_paper,99efe5fa-6287-46be-a5c8-01784116ce1e
https://pubs.acs.org/doi/10.1021/acschembio.3c00699,goldfarb-et-al-2024-lipid-restricted-culture-media-reveal-unexpected-cancer-cell-sensitivities.pdf,2550ee99-5ce1-4316-85e2-8b39d99ff046
https://twitter.com/MizLabUT/status/1564888517250928640,PIIS1097276522007614.pdf,556a94a9-4afa-4fc7-b4a8-17aa988d26a2
https://www.biorxiv.org/content/10.1101/2022.09.15.508072v1.full.pdf,2022.09.15.508072v1.full.pdf,79923d50-950f-43a0-bffd-195a3d6ab9cf
https://www.biorxiv.org/content/10.1101/2022.10.05.509986v1.full.pdf,2022.10.05.509986v1.full.pdf,b92dbbea-24d0-408f-bbab-c987a25774a6
https://www.biorxiv.org/content/10.1101/2023.02.10.524960v1.full.pdf,2023.02.10.524960v1.full.pdf,7a6bcabe-b550-4ba1-9653-6c0569e6947a
https://www.biorxiv.org/content/10.1101/2023.07.30.551157v1.full.pdf,2023.07.30.551157v1.full.pdf,058b5f3c-6799-4e9e-b9c3-a6379a85116b
https://www.biorxiv.org/content/10.1101/2023.09.28.560019v1.full.pdf,2023.09.28.560019v1.full.pdf,ae186cd9-3bda-4eb4-a018-13d97a0651d4
https://www.biorxiv.org/content/10.1101/2024.02.13.579970v1.full.pdf,2024.02.13.579970v1.full.pdf,318a0d4d-1590-4a9c-8dad-61359b10cd9a
https://www.biorxiv.org/content/10.1101/2024.05.06.592787v1.full.pdf,2024.05.06.592787v1.full.pdf,c93fdd76-b3c5-485b-a8f1-df46cce7c35c
https://www.cell.com/cell-chemical-biology/fulltext/S2451-9456(24)00090-4,PIIS2451945624000904.pdf,1e3c1fbc-cb16-4b36-9ac3-a0a698744183
https://www.cell.com/cell-reports/pdfExtended/S2211-1247(22)01343-2,mmc4.pdf,39f836a6-6c97-4642-b68a-2e4a0b559b38
https://www.embopress.org/doi/full/10.1038/s44318-024-00053-0,charidemou-et-al-2024-hyperacetylated-histone-h4-is-a-source-of-carbon-contributing-to-lipid-synthesis.pdf,8f703ee7-88ec-4d3c-b800-3e3863b1ef24
https://www.embopress.org/doi/full/10.1038/s44318-024-00063-y,reinhard-et-al-2024-memprep-a-new-technology-for-isolating-organellar-membranes-provides-fingerprints-of-lipid-bilayer.pdf,f06071d1-881a-4137-a275-110d2fb6510c
https://www.molbiolcell.org/doi/10.1091/mbc.E17-11-0693,serebrenik-et-al-2018-targeted-protein-unfolding-uncovers-a-golgi-specific-transcriptional-stress-response.pdf,e4fd00df-4372-44f0-b98f-1a6d9a41d891
https://www.molbiolcell.org/doi/10.1091/mbc.E21-07-0363,hammond-et-al-2022-an-update-on-genetically-encoded-lipid-biosensors.pdf,6af9bae5-0403-4306-90d5-7abacb631a34
https://www.nature.com/articles/nrm.2017.138,nrm.2017.138.pdf,8addbecd-b626-4d51-987c-85460772b561
https://www.nature.com/articles/s41467-023-43570-y,s41467-023-43570-y.pdf,2d9ce28a-db41-42b4-b2d1-319e7d2a2e2b
https://www.nature.com/articles/s41556-023-01195-9,s41556-023-01195-9.pdf,c31f3715-b951-4bfe-9e61-e8cb9771486b
https://www.nature.com/articles/s41556-023-01341-3,s41556-023-01341-3.pdf,a98e068c-5d36-4aa0-8774-31f56ca62ab7
https://www.nature.com/articles/s41586-024-07516-8,s41586-024-07516-8.pdf,8b92401f-1214-433d-8334-109aab995090
https://www.nature.com/articles/s42255-021-00493-6,s42255-021-00493-6.pdf,ee2a4a03-f8d1-4108-a227-ec013115dc85
https://www.nature.com/articles/s42255-023-00769-z,s42255-023-00769-z.pdf,ff45dd18-252c-4567-8ab9-e99ead8f1361
https://www.nature.com/articles/s42255-023-00880-1,s42255-023-00880-1.pdf,7b5a25d5-1157-4e97-b6ce-340e9e96afec
https://www.nature.com/articles/s42255-023-00972-y,s42255-023-00972-y.pdf,d1185d63-32c0-4728-b8b9-2705769cc76e
https://www.nature.com/articles/s42255-024-01047-2,s42255-024-01047-2.pdf,fbb1414e-99c3-4e6e-bf9c-d73ecb836278
https://www.nature.com/articles/s43587-024-00578-3,s43587-024-00578-3.pdf,dbcb173b-34b9-42cd-9441-a4cc82af6018
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3008339/,nihms256676.pdf,c8c9186f-beed-482c-8621-3d4cb278a189
https://www.sciencedirect.com/science/article/abs/pii/S0006349522006051,1-s2.0-S0006349522006051-main.pdf,bde6292c-4b8f-46d6-b3c7-f45654e8e0aa
https://www.sciencedirect.com/science/article/pii/S0960982220307570,1-s2.0-S0960982220307570-main.pdf,d534e39b-a577-4b94-b2fa-cf27754c88d8
https://www.sciencedirect.com/science/article/pii/S096098222030823X,1-s2.0-S096098222030823X-main.pdf,7e144648-0dbc-4586-986e-23248ee59251
https://www.sciencedirect.com/science/article/pii/S1388198121000093,1-s2.0-S1388198121000093-main.pdf,5bac5085-29a6-43c8-9768-450f715d160e
https://www.sciencedirect.com/science/article/pii/S2451945623003732,1-s2.0-S2451945623003732-main.pdf,37f8ff93-08a4-48b0-bab5-fb7557a86728
